,Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,pos_score,neg_score,obj_score,conv_pos,conv_neg,conv_pos(w=3),conv_neg(w=3),conv_pos(w=5),conv_neg(w=5),emo_flag
13808,13808,my,my,138.645,138.825,7.222784972952155,DET,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13809,13809,work,work,138.825,138.995,6.6685331574552364,NOUN,9,2,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13810,13810,had,had,138.995,139.225,8.105337708286058,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13811,13811,been,been,139.225,139.355,7.625497506397463,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13812,13812,successful,successful,139.355,140.033,4.4796069630127455,ADJ,9,2,12,3,0.625,0.0,0.375,0.625,0.0,0.625,0.0,0.625,0.0,0
13813,13813,he,he,140.866,140.991,8.557202055435473,PRON,9,5,2,3,0.0,0.0,1.0,0.3125,0.0,0.3125,0.0,0.5,0.0,0
13814,13814,made,made,140.991,141.241,6.839401488953406,VERB,9,2,1,2,0.0,0.0,1.0,0.15625,0.0,0.15625,0.0,0.375,0.0,0
13815,13815,no,no,141.241,141.501,7.480597496498434,DET,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0
13816,13816,answer,answer,141.501,141.781,4.934042185264735,NOUN,9,1,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0
13817,13817,to,to,141.781,141.911,10.106224294072677,ADP,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13818,13818,my,my,141.911,142.05100000000002,7.222784972952155,DET,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
